Opt. Const. of B-Spline vs. nm,n,k
528.402588,2.226019,0.530538
529.995544,2.224464,0.52935
531.588501,2.222889,0.528227
533.181396,2.221296,0.527171
534.774231,2.219688,0.526182
536.367065,2.218065,0.525261
537.959839,2.216431,0.524409
539.552612,2.214787,0.523626
541.145325,2.213135,0.522912
542.737915,2.211478,0.522269
544.330566,2.209817,0.521696
545.923157,2.208156,0.521194
547.515686,2.206496,0.520763
549.108154,2.204841,0.520403
550.700562,2.203193,0.520115
552.29303,2.201556,0.519897
553.885376,2.199934,0.519749
555.477661,2.198329,0.519668
557.069885,2.196743,0.519651
558.662109,2.195179,0.519698
560.254272,2.193637,0.519806
561.846313,2.192119,0.519973
563.438354,2.190626,0.520197
565.030396,2.18916,0.520477
566.622314,2.18772,0.52081
568.214233,2.186308,0.521196
569.80603,2.184925,0.521632
571.397827,2.183572,0.522117
572.989563,2.182248,0.522649
574.581238,2.180955,0.523228
576.172852,2.179692,0.523851
577.764404,2.178461,0.524517
579.355835,2.177262,0.525225
580.947327,2.176095,0.525973
582.538696,2.17496,0.526761
584.130005,2.173858,0.527586
585.721252,2.172789,0.528448
587.312378,2.171752,0.529345
588.903564,2.170749,0.530276
590.494568,2.169779,0.531241
592.085571,2.168843,0.532237
593.676514,2.16794,0.533264
595.267395,2.16707,0.53432
596.858154,2.166234,0.535405
598.448853,2.165432,0.536518
600.039551,2.164663,0.537658
601.630127,2.163927,0.538823
603.220642,2.163224,0.540012
604.811096,2.162555,0.541225
606.401489,2.161919,0.542462
607.99176,2.161316,0.54372
609.58197,2.160746,0.544999
611.172119,2.160209,0.546298
612.762207,2.159704,0.547616
614.352173,2.159231,0.548953
615.942139,2.158791,0.550308
617.531982,2.158382,0.55168
619.121704,2.158005,0.553068
620.711426,2.15766,0.554471
622.301086,2.157345,0.555889
623.890564,2.157061,0.557322
625.480042,2.156808,0.558768
627.069397,2.156585,0.560226
628.658691,2.156393,0.561697
630.247925,2.156229,0.563179
631.837036,2.156095,0.564672
633.426025,2.155989,0.566176
