wavelength,n,k
189.0,1.6089330133958015,0.0
190.0,1.5964490513714729,0.2858694362566709
190.0,1.5944891249069493,0.1640139027877284
191.0,1.594569910723739,0.18380455859435768
192.0,1.5957299110856995,0.15698658238882793
193.0,1.5881918721543975,0.13739860421562652
193.0,1.5906809343141401,0.0
194.0,1.6059197790745627,0.0
195.0,1.5953628986292636,0.32798559855328563
196.0,1.6032091074420325,0.21654766946714243
196.0,1.6014828673050336,0.0
197.0,1.5981284429329394,0.0
198.0,1.6087288682131382,0.0
199.0,1.6004068575788584,0.0
199.0,1.6099242843139778,0.0
200.0,1.6056569102940834,0.0
201.0,1.6197819410635386,0.0
202.0,1.616871638340338,0.0
202.0,1.6239626489907988,0.0
203.0,1.624273886396741,0.0
204.0,1.6230141859785758,0.14194717686220085
205.0,1.622065307736956,0.04848790969108518
205.0,1.6245271863684758,0.03779489642798356
206.0,1.626096991766638,0.0
207.0,1.6249106989582396,0.07584448278066326
208.0,1.625916195879136,0.0
208.0,1.6229707349966704,0.0
209.0,1.6230721192661735,0.6780673076995185
210.0,1.6230938438498894,0.4063312012369419
211.0,1.622021837684386,0.0
211.0,1.6218117200790292,0.0
212.0,1.619934241214139,0.29987422989111073
213.0,1.6188026088625331,0.0
214.0,1.6158546277161427,0.0
214.0,1.6137536632043243,0.1927736527038879
215.0,1.6123494135396972,0.0
216.0,1.6122402350079172,0.0
217.0,1.6088455251167006,0.028030525879386103
217.0,1.6095307492143678,0.0
218.0,1.6065403047187536,0.17722674690260984
219.0,1.605423220162703,0.0
220.0,1.6045758641171661,0.0
220.0,1.6029897539168547,0.0
221.0,1.602433949299965,0.0
222.0,1.6042470513820148,0.0
222.0,1.6056569102940834,0.0
223.0,1.6031213689513024,0.1491776597644172
224.0,1.6022437696619856,0.0
225.0,1.6061826133677135,0.3373882000780773
225.0,1.6032529752284408,0.0
226.0,1.6064308141345505,0.12256122154407138
227.0,1.6093995539556492,0.0
228.0,1.6072481999398154,0.7766900264093474
228.0,1.6098295513242193,0.0
229.0,1.6133535854314942,0.12010034787051506
230.0,1.6151206209133149,0.0
231.0,1.6158836919979775,0.0
231.0,1.618229308947802,0.0
232.0,1.6188098648316582,0.0
233.0,1.6206448318739173,0.0
234.0,1.6218914222705583,0.0
234.0,1.6220073474722334,0.0
235.0,1.6248672858171629,0.0
236.0,1.623238668846641,0.0
237.0,1.6243245487444191,0.0
237.0,1.6264006954001704,0.0
238.0,1.6274922367837819,0.0
239.0,1.630265660375158,0.0
240.0,1.631196585764964,0.0
240.0,1.6348084096472209,0.0
241.0,1.6397087965244017,0.0
242.0,1.6417493857671244,0.0
243.0,1.646836042773741,0.0
243.0,1.6489564988886956,0.0
244.0,1.6556140457403021,0.0
245.0,1.6599594798213977,0.0
246.0,1.6657064935552175,0.0
246.0,1.6717888959679448,0.0
247.0,1.6726120977659744,0.0
248.0,1.6746052125201853,0.0
249.0,1.6713488072115024,0.0
249.0,1.6713630047302204,0.0
250.0,1.6741088416072178,0.0
251.0,1.6697298043453639,0.0
252.0,1.6689199401190182,0.0
252.0,1.6676051684183886,0.0
253.0,1.663429136246113,0.0
254.0,1.6601590929236034,0.0
255.0,1.660023642858414,0.4884941560002213
255.0,1.6562709742087314,0.3412025967641374
256.0,1.6520550832028165,0.31282802506507323
257.0,1.6519120470430777,0.31046813093745895
258.0,1.6492500655510207,0.3026279414696253
258.0,1.6483979089786565,0.2839842618027544
259.0,1.6448284974602925,0.27202878962631416
260.0,1.647201523407822,0.2735162405598996
260.0,1.648147218143562,0.2724923824562819
261.0,1.6483549352354872,0.25985740841628635
262.0,1.646011717340201,0.25854323215471453
263.0,1.645323369252967,0.2588400509210632
263.0,1.6443980912417733,0.25313286816625724
264.0,1.6420653755814194,0.2511997236531938
265.0,1.642496202900545,0.243703169746254
266.0,1.6410095171703827,0.24046675749833582
266.0,1.6413184225349275,0.2409659663477055
267.0,1.6402766029047822,0.24390254402292477
268.0,1.636666164940696,0.23890827540505832
