NR9 ordinary,n,k
537,1.385774,0.152308
538,1.384193,0.153394
539,1.382608,0.154505
540,1.381019,0.155643
541,1.379428,0.156807
542,1.377835,0.157998
543,1.376241,0.159217
544,1.374645,0.160464
545,1.373049,0.161739
546,1.371453,0.163042
547,1.369858,0.164373
548,1.368263,0.165733
549,1.36667,0.167121
550,1.365079,0.168539
551,1.36349,0.169986
552,1.361905,0.171462
553,1.360322,0.172968
554,1.358743,0.174504
555,1.357168,0.17607
556,1.355597,0.177668
557,1.354031,0.179297
558,1.35247,0.180959
559,1.350917,0.182654
560,1.34937,0.184382
561,1.347833,0.186145
562,1.346306,0.187943
563,1.34479,0.189775
564,1.343288,0.191644
565,1.3418,0.193548
566,1.340329,0.195489
567,1.338878,0.197465
568,1.337449,0.199476
569,1.336045,0.20152
570,1.334666,0.203594
571,1.333313,0.205697
572,1.331987,0.207827
573,1.330689,0.209982
574,1.329419,0.212161
575,1.328177,0.214362
576,1.326963,0.216583
577,1.325778,0.218824
578,1.324621,0.221081
579,1.323491,0.223355
580,1.322389,0.225644
581,1.321315,0.227945
582,1.320267,0.230258
583,1.319244,0.232582
584,1.318247,0.234915
585,1.317274,0.237256
586,1.316323,0.239604
587,1.315394,0.241958
588,1.314486,0.244316
589,1.313596,0.246678
590,1.312723,0.249043
591,1.311865,0.25141
592,1.311019,0.253778
593,1.310182,0.256148
594,1.309349,0.258518
595,1.308515,0.260892
596,1.307678,0.263275
597,1.306836,0.265672
598,1.305989,0.268086
599,1.305137,0.270522
600,1.304282,0.272983
601,1.303423,0.275473
602,1.302563,0.277995
603,1.301704,0.280553
604,1.300848,0.28315
605,1.299998,0.285788
606,1.299157,0.288471
607,1.298328,0.291201
608,1.297517,0.29398
609,1.29673,0.29681
610,1.29597,0.299689
611,1.295243,0.302616
612,1.294552,0.305589
613,1.293899,0.308608
614,1.293288,0.31167
615,1.292721,0.314775
616,1.292202,0.31792
617,1.291732,0.321106
618,1.291316,0.324329
619,1.290954,0.327589
620,1.290652,0.330885
621,1.290411,0.334213
622,1.290235,0.337574
623,1.290128,0.340964
624,1.290095,0.344381
625,1.290144,0.347819
626,1.290276,0.35127
627,1.290492,0.354727
628,1.290793,0.358183
629,1.291178,0.361632
630,1.291646,0.365068
631,1.292195,0.368484
632,1.292823,0.371874
633,1.293528,0.375235
634,1.294306,0.37856
635,1.295154,0.381844
636,1.296069,0.385084
637,1.297045,0.388275
638,1.298078,0.391413
639,1.299163,0.394494
640,1.300294,0.397516
641,1.301464,0.400477
642,1.302666,0.403377
643,1.303898,0.406217
644,1.305153,0.408997
645,1.306427,0.411716
646,1.307718,0.414376
647,1.30902,0.416977
648,1.310329,0.419519
649,1.311641,0.422002
650,1.312952,0.424426
651,1.314257,0.426794
652,1.315552,0.429104
653,1.316832,0.431359
654,1.318091,0.433559
655,1.319323,0.435705
656,1.320522,0.437799
657,1.32168,0.439844
658,1.322784,0.441847
659,1.32383,0.443818
660,1.324814,0.445769
661,1.325736,0.447708
662,1.326594,0.449645
663,1.327391,0.451589
664,1.328126,0.453548
665,1.328803,0.45553
666,1.329424,0.457541
667,1.329991,0.45959
668,1.33051,0.461682
669,1.330983,0.463825
670,1.331416,0.466024
671,1.331814,0.468286
672,1.332181,0.470615
673,1.332525,0.473017
674,1.332851,0.475496
675,1.333167,0.478057
676,1.333481,0.480703
677,1.333801,0.483434
678,1.334133,0.486252
679,1.334484,0.489158
680,1.33486,0.492154
681,1.335269,0.495239
682,1.335717,0.498415
683,1.336211,0.501683
684,1.336758,0.505041
685,1.337366,0.508491
686,1.338042,0.512033
687,1.338794,0.515664
688,1.339632,0.519385
689,1.340563,0.523194
690,1.341597,0.52709
691,1.342743,0.531071
692,1.344014,0.535133
693,1.345421,0.539273
694,1.34698,0.543486
695,1.348708,0.54776
696,1.350616,0.552076
697,1.352709,0.556415
698,1.354991,0.560763
699,1.357461,0.565104
700,1.360121,0.569423
701,1.362969,0.573707
702,1.366002,0.577944
703,1.369218,0.58212
704,1.372613,0.586225
705,1.376184,0.590248
706,1.379926,0.594179
707,1.383835,0.598007
708,1.387905,0.601724
709,1.392133,0.605321
710,1.396511,0.608789
711,1.401036,0.612121
712,1.405703,0.61531
713,1.410508,0.618347
714,1.415447,0.621225
715,1.420519,0.623933
716,1.425718,0.626458
717,1.431036,0.628787
718,1.436463,0.630907
719,1.441987,0.632808
720,1.447597,0.634482
721,1.453278,0.635919
722,1.459019,0.637112
723,1.464805,0.638053
724,1.470622,0.638736
725,1.476454,0.639156
726,1.482287,0.639307
727,1.488104,0.639185
728,1.493889,0.638786
729,1.499624,0.638107
730,1.50529,0.637145
731,1.510869,0.635898
732,1.516339,0.634364
733,1.521677,0.632544
734,1.526857,0.630438
735,1.531849,0.628048
736,1.536613,0.625386
737,1.541116,0.622483
738,1.545341,0.619373
739,1.549278,0.616085
740,1.552919,0.612646
741,1.55626,0.609081
742,1.559298,0.605413
743,1.562033,0.601665
744,1.564465,0.597858
745,1.566596,0.594012
746,1.568427,0.590146
747,1.569962,0.586279
748,1.571204,0.582428
749,1.57216,0.578611
750,1.572834,0.574844
751,1.573232,0.571144
752,1.573361,0.567526
753,1.57323,0.564006
754,1.572847,0.560598
755,1.572221,0.557316
756,1.571363,0.554174
757,1.570286,0.551185
758,1.569003,0.548362
759,1.567533,0.545713
760,1.565888,0.54324
761,1.564081,0.540947
762,1.562121,0.538838
763,1.560017,0.536916
764,1.557778,0.535185
765,1.555414,0.53365
766,1.552934,0.532315
767,1.550347,0.531184
768,1.547661,0.530262
769,1.544887,0.529552
770,1.542034,0.529059
771,1.539111,0.528786
772,1.53613,0.528738
773,1.533101,0.528918
774,1.530036,0.52933
775,1.526945,0.529976
776,1.523841,0.530861
777,1.520737,0.531987
778,1.517647,0.533355
779,1.514586,0.534968
780,1.511569,0.536828
781,1.508615,0.538933
782,1.505744,0.541284
783,1.502981,0.543872
784,1.500345,0.546681
785,1.49785,0.549695
786,1.495504,0.552898
787,1.493318,0.556275
788,1.491296,0.559813
789,1.489446,0.563498
790,1.48777,0.567315
791,1.486273,0.571252
792,1.484957,0.575296
793,1.483824,0.579433
794,1.482875,0.583653
795,1.482109,0.587943
796,1.481527,0.592291
797,1.481127,0.596687
798,1.480907,0.601119
799,1.480865,0.605577
800,1.480998,0.61005
801,1.481303,0.614531
802,1.481774,0.619008
803,1.482408,0.623473
804,1.4832,0.627917
805,1.484143,0.632334
806,1.48523,0.636715
807,1.486456,0.641054
808,1.48781,0.645344
809,1.489283,0.649585
810,1.490869,0.653775
811,1.492562,0.657914
812,1.494358,0.662
813,1.496251,0.666033
814,1.498239,0.670012
815,1.500317,0.673935
816,1.502481,0.677802
817,1.504729,0.681612
818,1.507055,0.685364
819,1.509458,0.689056
820,1.511934,0.692689
821,1.514479,0.696261
822,1.517091,0.699772
823,1.519766,0.703221
824,1.522501,0.706607
825,1.525294,0.70993
826,1.528141,0.71319
827,1.531039,0.716385
828,1.533987,0.719517
829,1.536979,0.722583
830,1.540014,0.725585
