Ell with T and measured substrate Opt. Const. of B-Spline vs. nm, n (E with T amd substrate),k (E with T and substrate measured)
482.193787,0.560535,4.298219
483.787506,0.566607,4.316625
485.381195,0.572604,4.334846
486.974915,0.578522,4.35288
488.568542,0.584365,4.370733
490.162201,0.590138,4.388412
491.755798,0.595845,4.405929
493.349426,0.601491,4.42329
494.943024,0.607079,4.440503
496.53656,0.612615,4.457576
498.130127,0.618101,4.474517
499.723633,0.623542,4.491331
501.317139,0.628941,4.508026
502.910645,0.6343,4.524608
504.504089,0.639624,4.541083
506.097504,0.644915,4.557456
507.690918,0.650176,4.573734
509.284332,0.655409,4.589922
510.877625,0.660617,4.606023
512.471008,0.665803,4.622046
514.064331,0.670968,4.637991
515.657593,0.676115,4.653864
517.250793,0.681246,4.669671
518.843994,0.686363,4.685414
520.437134,0.691467,4.701097
522.030334,0.69656,4.716725
523.623413,0.701644,4.7323
525.216492,0.706721,4.747826
526.80957,0.711791,4.763306
528.402588,0.716856,4.778743
529.995544,0.721918,4.79414
531.588501,0.726977,4.8095
533.181396,0.732035,4.824825
534.774231,0.737092,4.840117
536.367065,0.742151,4.855381
537.959839,0.747211,4.870616
539.552612,0.752274,4.885826
541.145325,0.757341,4.901013
542.737915,0.762411,4.916178
544.330566,0.767486,4.931324
545.923157,0.772567,4.946451
547.515686,0.777654,4.961563
549.108154,0.782748,4.976659
550.700562,0.787849,4.991742
552.29303,0.792958,5.006814
553.885376,0.798072,5.021873
555.477661,0.80319,5.036917
557.069885,0.808309,5.051945
558.662109,0.813424,5.066956
560.254272,0.818535,5.081946
561.846313,0.823638,5.096916
563.438354,0.828732,5.111862
565.030396,0.833813,5.126783
566.622314,0.83888,5.141679
568.214233,0.84393,5.156547
569.80603,0.848962,5.171386
571.397827,0.853973,5.186195
572.989563,0.858963,5.200973
574.581238,0.863928,5.215718
576.172852,0.868868,5.230428
577.764404,0.873781,5.245105
579.355835,0.878666,5.259744
580.947327,0.883521,5.274347
582.538696,0.888344,5.288912
584.130005,0.893135,5.303438
585.721252,0.897893,5.317924
587.312378,0.902616,5.332369
588.903564,0.907303,5.346772
590.494568,0.911953,5.361133
592.085571,0.916565,5.375452
593.676514,0.921139,5.389725
595.267395,0.925673,5.403955
596.858154,0.930167,5.418138
598.448853,0.93462,5.432277
600.039551,0.939032,5.446368
601.630127,0.9434,5.460413
603.220642,0.947726,5.47441
604.811096,0.952009,5.488359
606.401489,0.956247,5.502259
607.99176,0.96044,5.51611
609.58197,0.964589,5.529912
611.172119,0.968692,5.543664
612.762207,0.97275,5.557366
614.352173,0.976761,5.571018
615.942139,0.980725,5.584618
617.531982,0.984643,5.598166
619.121704,0.988514,5.611664
620.711426,0.992337,5.62511
622.301086,0.996113,5.638504
623.890564,0.999841,5.651845
625.480042,1.003521,5.665134
627.069397,1.007153,5.67837
628.658691,1.010737,5.691553
630.247925,1.014273,5.704683
