wavelength,n,k
845,1.995213571,0.54099
844,1.994939808,0.55335
843,1.995065196,0.5657
842,1.995265816,0.57804
841,1.995242829,0.59035
840,1.994797701,0.60273
839,1.993763247,0.61505
838,1.992858357,0.62727
837,1.991527138,0.63938
836,1.990191729,0.65139
835,1.988885566,0.66331
834,1.987222019,0.67518
833,1.985880296,0.68685
832,1.984220882,0.69844
831,1.982555169,0.70994
830,1.980753571,0.72128
829,1.97896865,0.73234
828,1.977179503,0.74326
827,1.97553662,0.75393
826,1.973559248,0.76432
825,1.971387401,0.77444
824,1.968981328,0.78438
823,1.966635757,0.79392
822,1.96450749,0.80318
821,1.961835498,0.81212
820,1.9592825,0.82068
819,1.956593392,0.82884
818,1.953680288,0.83661
817,1.95094887,0.84392
816,1.947895061,0.8508
815,1.944861823,0.85723
814,1.941499733,0.86324
813,1.938315036,0.8688
812,1.9352136,0.87402
811,1.931906575,0.87885
810,1.928797894,0.88315
809,1.925734773,0.88685
808,1.92252035,0.89011
807,1.919690749,0.89296
806,1.916623933,0.89548
805,1.913430804,0.89757
804,1.910281025,0.89927
803,1.907101226,0.90048
802,1.90396265,0.90128
801,1.900760434,0.90173
800,1.897521775,0.90184
799,1.894030481,0.9016
798,1.890628446,0.90102
797,1.887166637,0.90011
796,1.883783584,0.89896
795,1.880386881,0.89757
794,1.87719925,0.89578
793,1.873787789,0.8937
792,1.870358333,0.89149
791,1.867264258,0.88906
790,1.863998701,0.88644
789,1.86119511,0.88367
788,1.858430644,0.8808
787,1.855701106,0.87777
786,1.853366822,0.87466
785,1.850814791,0.87144
784,1.848580317,0.86819
783,1.846256643,0.86497
782,1.84410526,0.86171
781,1.841873092,0.85846
780,1.839980087,0.8553
779,1.838130935,0.85218
778,1.836507266,0.84914
777,1.835202156,0.84622
776,1.834082698,0.84337
775,1.833146865,0.84056
774,1.832379939,0.83785
773,1.832115827,0.83529
772,1.83182001,0.8328
771,1.831631948,0.83044
770,1.831982711,0.82818
769,1.832198231,0.82602
768,1.832648267,0.82416
767,1.833058134,0.82251
766,1.833510228,0.82081
765,1.834061574,0.81907
764,1.834792412,0.81726
763,1.835738589,0.81546
762,1.836887351,0.81369
761,1.838221714,0.81191
760,1.839363754,0.81021
759,1.840573153,0.80862
758,1.841714833,0.80712
757,1.842974489,0.80573
756,1.844261361,0.80453
755,1.845604964,0.80353
754,1.846857659,0.80272
753,1.848072203,0.80215
752,1.849389859,0.80181
751,1.850534462,0.80145
750,1.851834856,0.80104
749,1.853099223,0.80051
748,1.854376037,0.79992
747,1.85575798,0.79931
746,1.857190244,0.79858
745,1.858533827,0.79782
744,1.859894046,0.79703
743,1.861096169,0.79612
742,1.862165521,0.79512
741,1.863287362,0.79403
740,1.864278591,0.79285
739,1.865252879,0.79155
738,1.866123969,0.79017
737,1.867257947,0.78863
736,1.868433857,0.78694
735,1.86923945,0.7851
734,1.870110171,0.78312
733,1.870753697,0.78094
732,1.871378254,0.77863
731,1.872036415,0.77615
730,1.872549454,0.77348
729,1.872787042,0.77071
728,1.873110824,0.76776
727,1.873115029,0.76463
726,1.873173897,0.76133
725,1.873146566,0.75786
724,1.872980471,0.75417
723,1.872911089,0.75034
722,1.872782837,0.74634
721,1.872780734,0.74216
720,1.872574685,0.73785
719,1.87216678,0.73339
718,1.871798809,0.72878
717,1.871357226,0.72406
716,1.87094927,0.71919
715,1.870282623,0.71421
714,1.869521286,0.70912
713,1.868633684,0.70393
712,1.867712341,0.69863
711,1.8666226,0.69324
710,1.865562188,0.68776
709,1.864284904,0.68221
708,1.862921148,0.67654
707,1.861605601,0.67084
706,1.86032565,0.66507
705,1.858912857,0.65927
