Opt. Const. of ZnO (GenOsc) vs. nm nm,n,k
526.80957,1.590918,0.000033
528.402588,1.590497,0.000033
529.995544,1.590082,0.000032
531.588501,1.589672,0.000031
533.181396,1.589268,0.000031
534.774231,1.58887,0.00003
536.367065,1.588476,0.000029
537.959839,1.588088,0.000029
539.552612,1.587705,0.000028
541.145325,1.587327,0.000028
542.737915,1.586954,0.000027
544.330566,1.586586,0.000026
545.923157,1.586222,0.000026
547.515686,1.585863,0.000025
549.108154,1.585509,0.000025
550.700562,1.585159,0.000024
552.29303,1.584813,0.000024
553.885376,1.584472,0.000023
555.477661,1.584135,0.000023
557.069885,1.583802,0.000022
558.662109,1.583473,0.000022
560.254272,1.583148,0.000021
561.846313,1.582827,0.000021
563.438354,1.58251,0.000021
565.030396,1.582197,0.00002
566.622314,1.581887,0.00002
568.214233,1.581581,0.000019
569.80603,1.581279,0.000019
571.397827,1.58098,0.000019
572.989563,1.580685,0.000018
574.581238,1.580393,0.000018
576.172852,1.580104,0.000018
577.764404,1.579819,0.000017
579.355835,1.579537,0.000017
580.947327,1.579258,0.000017
582.538696,1.578982,0.000016
584.130005,1.578709,0.000016
585.721252,1.578439,0.000016
587.312378,1.578173,0.000015
588.903564,1.577909,0.000015
590.494568,1.577648,0.000015
592.085571,1.57739,0.000015
593.676514,1.577135,0.000014
595.267395,1.576883,0.000014
596.858154,1.576633,0.000014
598.448853,1.576386,0.000014
600.039551,1.576141,0.000013
601.630127,1.5759,0.000013
603.220642,1.57566,0.000013
604.811096,1.575424,0.000013
606.401489,1.575189,0.000012
607.99176,1.574957,0.000012
609.58197,1.574728,0.000012
611.172119,1.574501,0.000012
612.762207,1.574276,0.000012
614.352173,1.574054,0.000011
615.942139,1.573833,0.000011
617.531982,1.573615,0.000011
619.121704,1.5734,0.000011
620.711426,1.573186,0.000011
622.301086,1.572974,0.00001
623.890564,1.572765,0.00001
625.480042,1.572558,0.00001
627.069397,1.572352,0.00001
628.658691,1.572149,0.00001
630.247925,1.571948,0.00001
631.837036,1.571749,0.000009
