Opt. Const. of James_ITO_Genosc- nm,n,k
526.80957,1.858921,0.008906
528.402588,1.857259,0.008995
529.995544,1.855599,0.009085
531.588501,1.853941,0.009175
533.181396,1.852286,0.009266
534.774231,1.850633,0.009357
536.367065,1.848981,0.00945
537.959839,1.847332,0.009542
539.552612,1.845684,0.009636
541.145325,1.844038,0.00973
542.737915,1.842394,0.009825
544.330566,1.840751,0.00992
545.923157,1.83911,0.010016
547.515686,1.837469,0.010113
549.108154,1.83583,0.01021
550.700562,1.834193,0.010309
552.29303,1.832556,0.010407
553.885376,1.83092,0.010507
555.477661,1.829286,0.010607
557.069885,1.827652,0.010708
558.662109,1.826018,0.010809
560.254272,1.824386,0.010912
561.846313,1.822754,0.011015
563.438354,1.821122,0.011118
565.030396,1.819491,0.011223
566.622314,1.817861,0.011328
568.214233,1.81623,0.011434
569.80603,1.8146,0.01154
571.397827,1.81297,0.011647
572.989563,1.811341,0.011755
574.581238,1.809711,0.011864
576.172852,1.808081,0.011973
577.764404,1.806451,0.012084
579.355835,1.804821,0.012195
580.947327,1.803191,0.012306
582.538696,1.80156,0.012419
584.130005,1.799929,0.012532
585.721252,1.798298,0.012646
587.312378,1.796667,0.01276
588.903564,1.795034,0.012876
590.494568,1.793402,0.012992
592.085571,1.791768,0.013109
593.676514,1.790134,0.013227
595.267395,1.788499,0.013346
596.858154,1.786864,0.013465
598.448853,1.785228,0.013585
600.039551,1.78359,0.013706
601.630127,1.781952,0.013828
603.220642,1.780313,0.01395
604.811096,1.778673,0.014074
606.401489,1.777031,0.014198
607.99176,1.775389,0.014323
609.58197,1.773745,0.014448
611.172119,1.7721,0.014575
612.762207,1.770454,0.014703
614.352173,1.768807,0.014831
615.942139,1.767158,0.01496
617.531982,1.765507,0.01509
619.121704,1.763856,0.015221
620.711426,1.762202,0.015352
622.301086,1.760548,0.015485
623.890564,1.758891,0.015618
625.480042,1.757233,0.015752
627.069397,1.755574,0.015888
628.658691,1.753912,0.016024
630.247925,1.752249,0.01616
631.837036,1.750584,0.016298
633.426025,1.748917,0.016437
635.015015,1.747249,0.016576
636.603882,1.745578,0.016717
638.192627,1.743906,0.016858
639.781311,1.742231,0.017
641.369934,1.740554,0.017143
642.958435,1.738876,0.017287
644.546814,1.737195,0.017432
646.135132,1.735512,0.017578
647.72345,1.733827,0.017725
649.311584,1.73214,0.017873
650.899597,1.73045,0.018021
652.48761,1.728759,0.018171
654.075439,1.727064,0.018322
655.663208,1.725368,0.018473
657.250854,1.723669,0.018626
658.838501,1.721968,0.018779
660.425903,1.720264,0.018934
662.013306,1.718558,0.019089
663.600586,1.716849,0.019245
665.187805,1.715138,0.019403
666.774841,1.713424,0.019561
668.361877,1.711707,0.01972
669.94873,1.709988,0.019881
671.535522,1.708266,0.020042
673.122192,1.706542,0.020205
674.70874,1.704814,0.020368
676.295227,1.703084,0.020532
677.881531,1.701351,0.020698
679.467834,1.699616,0.020864
681.053955,1.697877,0.021032
682.640015,1.696135,0.021201
684.225952,1.694391,0.02137
685.811707,1.692644,0.021541
687.397461,1.690893,0.021713
688.983032,1.68914,0.021886
690.568542,1.687383,0.022059
692.153931,1.685624,0.022234
693.739136,1.683861,0.022411
695.324341,1.682095,0.022588
696.909302,1.680326,0.022766
698.494263,1.678554,0.022945
700.079041,1.676778,0.023126
701.663696,1.675,0.023308
703.248291,1.673218,0.02349
704.832764,1.671432,0.023674
706.417114,1.669644,0.023859
708.001282,1.667852,0.024046
709.585327,1.666056,0.024233
711.169312,1.664258,0.024421
712.753174,1.662455,0.024611
714.336853,1.66065,0.024802
715.920471,1.658841,0.024994
717.503967,1.657028,0.025187
719.08728,1.655211,0.025381
720.670532,1.653392,0.025577
722.253601,1.651568,0.025774
723.836548,1.649741,0.025972
725.419373,1.64791,0.026171
727.002075,1.646076,0.026372
728.584656,1.644238,0.026573
730.167114,1.642396,0.026776
731.749451,1.64055,0.02698
733.331665,1.638701,0.027186
734.913696,1.636847,0.027393
736.495605,1.63499,0.027601
738.077393,1.633129,0.02781
739.659058,1.631265,0.02802
741.24054,1.629396,0.028232
742.821899,1.627523,0.028445
744.403198,1.625646,0.02866
745.984253,1.623766,0.028876
747.565247,1.621881,0.029093
749.146057,1.619992,0.029311
750.726685,1.618099,0.029531
752.307251,1.616202,0.029752
753.887634,1.614301,0.029974
755.467896,1.612396,0.030198
757.047974,1.610487,0.030424
758.627991,1.608573,0.03065
760.207825,1.606656,0.030878
761.787476,1.604734,0.031108
763.367065,1.602807,0.031338
764.946411,1.600877,0.031571
766.525635,1.598942,0.031804
768.104736,1.597003,0.032039
769.683655,1.595059,0.032276
771.262451,1.593111,0.032514
772.841064,1.591159,0.032753
774.419556,1.589202,0.032994
775.997925,1.58724,0.033237
777.57605,1.585274,0.033481
779.154114,1.583304,0.033726
780.731995,1.581329,0.033973
782.309692,1.57935,0.034221
783.887268,1.577366,0.034471
785.464661,1.575377,0.034723
787.04187,1.573384,0.034976
788.619019,1.571386,0.03523
790.195923,1.569383,0.035487
791.772705,1.567375,0.035744
793.349304,1.565363,0.036004
794.92572,1.563346,0.036265
796.502075,1.561325,0.036527
798.078186,1.559298,0.036791
799.654114,1.557267,0.037057
801.229858,1.55523,0.037324
802.805542,1.553189,0.037594
804.380981,1.551143,0.037864
805.956299,1.549092,0.038137
807.531372,1.547036,0.038411
809.106384,1.544975,0.038687
810.681152,1.542909,0.038964
812.255798,1.540838,0.039243
813.8302,1.538762,0.039524
815.404541,1.53668,0.039807
816.978638,1.534594,0.040091
818.552551,1.532503,0.040378
820.126343,1.530406,0.040666
821.69989,1.528304,0.040955
823.273315,1.526197,0.041247
824.846558,1.524084,0.04154
826.419617,1.521966,0.041836
827.992493,1.519843,0.042133
829.565247,1.517715,0.042432
831.137695,1.515581,0.042732
832.710083,1.513442,0.043035
834.282227,1.511298,0.04334
835.854187,1.509148,0.043646
837.426086,1.506992,0.043955
838.997681,1.504831,0.044265
840.569153,1.502665,0.044577
842.14032,1.500493,0.044891
843.711426,1.498315,0.045208
845.282349,1.496132,0.045526
846.853027,1.493943,0.045846
848.423523,1.491749,0.046168
849.993835,1.489549,0.046492
851.563965,1.487343,0.046819
853.133911,1.485131,0.047147
854.703735,1.482914,0.047478
856.273254,1.48069,0.04781
857.84259,1.478462,0.048145
859.411804,1.476227,0.048481
860.980774,1.473986,0.04882
862.549622,1.471739,0.049161
864.118164,1.469486,0.049505
865.686646,1.467228,0.04985
867.254761,1.464963,0.050198
868.822876,1.462692,0.050547
870.390625,1.460416,0.050899
871.958191,1.458133,0.051254
873.525696,1.455844,0.05161
875.092896,1.453549,0.051969
876.659851,1.451248,0.05233
878.226685,1.44894,0.052694
879.793335,1.446626,0.05306
881.359741,1.444306,0.053428
882.925964,1.44198,0.053799
884.491882,1.439648,0.054172
886.057739,1.437309,0.054547
887.623352,1.434963,0.054925
889.18866,1.432611,0.055305
890.753906,1.430253,0.055688
892.318848,1.427888,0.056073
893.883606,1.425517,0.056461
895.44812,1.423139,0.056851
897.012512,1.420755,0.057244
898.57666,1.418364,0.05764
900.140503,1.415966,0.058038
901.704285,1.413562,0.058439
903.267761,1.411151,0.058842
904.831055,1.408733,0.059248
906.394165,1.406308,0.059657
907.956909,1.403877,0.060068
909.519653,1.401438,0.060482
911.082031,1.398993,0.060899
912.644226,1.396541,0.061319
914.206177,1.394082,0.061741
915.767944,1.391616,0.062166
917.329468,1.389143,0.062594
918.890808,1.386662,0.063025
920.451965,1.384175,0.063459
922.012817,1.381681,0.063896
923.573425,1.379179,0.064336
925.133911,1.37667,0.064779
926.694031,1.374154,0.065224
928.254028,1.371631,0.065673
929.813782,1.3691,0.066125
931.373352,1.366562,0.06658
932.932617,1.364017,0.067038
934.491699,1.361464,0.067499
936.050598,1.358904,0.067963
937.609192,1.356336,0.068431
939.167603,1.353761,0.068902
940.725708,1.351178,0.069376
942.283569,1.348587,0.069853
943.841309,1.345989,0.070333
945.398743,1.343383,0.070817
946.955933,1.340769,0.071305
948.512878,1.338148,0.071795
950.069641,1.335518,0.072289
951.62616,1.332881,0.072787
953.182434,1.330236,0.073288
954.738464,1.327583,0.073793
956.29425,1.324922,0.074301
957.849792,1.322253,0.074813
959.405151,1.319576,0.075328
960.960266,1.31689,0.075847
962.515015,1.314197,0.07637
964.069641,1.311495,0.076897
965.624023,1.308785,0.077427
967.178101,1.306067,0.077961
968.731934,1.30334,0.078499
970.285522,1.300605,0.079041
971.838989,1.297862,0.079587
973.391968,1.29511,0.080137
974.944946,1.29235,0.080691
976.497559,1.289581,0.081249
978.049927,1.286803,0.081811
979.602051,1.284017,0.082377
981.153931,1.281222,0.082947
982.705444,1.278418,0.083522
984.256836,1.275605,0.084101
985.807983,1.272784,0.084684
987.358887,1.269953,0.085271
988.909485,1.267114,0.085863
990.459778,1.264265,0.08646
992.009888,1.261408,0.08706
993.559753,1.258541,0.087666
995.109253,1.255666,0.088276
996.658569,1.252781,0.08889
998.207703,1.249886,0.08951
999.75647,1.246983,0.090134
1011.723267,1.224211,0.095126
1015.185913,1.217507,0.096628
1018.648621,1.210751,0.098159
1022.111328,1.203942,0.099718
1025.573975,1.197079,0.101305
1029.036865,1.190161,0.102923
1032.499634,1.183187,0.104571
1035.962402,1.176157,0.106251
1039.425293,1.16907,0.107964
1042.888184,1.161924,0.10971
1046.351074,1.15472,0.11149
1049.813965,1.147455,0.113306
1053.276978,1.140131,0.115158
1056.739868,1.132744,0.117048
1060.202881,1.125295,0.118977
1063.665771,1.117783,0.120946
1067.128662,1.110206,0.122956
1070.591675,1.102564,0.125009
1074.054688,1.094856,0.127105
1077.5177,1.08708,0.129248
1080.980591,1.079237,0.131437
1084.443604,1.071323,0.133675
1087.906494,1.06334,0.135964
1091.369507,1.055285,0.138304
1094.832397,1.047157,0.140699
1098.295288,1.038956,0.143149
1101.758301,1.03068,0.145658
1105.221191,1.022329,0.148226
1108.684082,1.013901,0.150857
1112.146851,1.005394,0.153552
1115.609741,0.996809,0.156314
1119.07251,0.988144,0.159147
1122.535278,0.979398,0.162051
1125.998047,0.970569,0.165031
1129.460693,0.961657,0.16809
1132.923462,0.952661,0.17123
1136.385986,0.94358,0.174455
1139.848633,0.934412,0.177769
1143.311279,0.925158,0.181175
1146.773682,0.915815,0.184678
1150.236206,0.906384,0.188281
1153.698608,0.896864,0.191989
1157.160889,0.887254,0.195806
1160.623291,0.877554,0.199738
1164.085571,0.867763,0.203789
1167.547729,0.857882,0.207966
1171.009888,0.847911,0.212273
1174.471924,0.837849,0.216716
1177.93396,0.827698,0.221303
1181.395996,0.817458,0.22604
1184.857788,0.807131,0.230933
1188.31958,0.796718,0.235989
1191.781372,0.786222,0.241217
1195.243042,0.775645,0.246625
1198.704712,0.764989,0.25222
1202.166138,0.75426,0.25801
1205.627563,0.743461,0.264005
1209.088989,0.732597,0.270213
1212.550171,0.721675,0.276643
1216.011353,0.710701,0.283305
1219.472412,0.699684,0.290208
1222.93335,0.688632,0.29736
1226.394287,0.677556,0.30477
1229.855225,0.666467,0.312447
1233.315796,0.655377,0.320398
1236.776489,0.644301,0.328631
1240.236938,0.633253,0.337152
1243.697266,0.62225,0.345966
1247.157593,0.611309,0.355077
1250.617798,0.600449,0.364488
1254.077881,0.589687,0.374198
1257.537842,0.579045,0.384207
1260.997559,0.568543,0.394511
1264.457275,0.5582,0.405105
1267.91687,0.548036,0.41598
1271.376343,0.538071,0.427127
1274.835693,0.528322,0.438533
1278.294922,0.518807,0.450184
1281.754028,0.509542,0.462063
1285.213013,0.500538,0.474154
1288.671753,0.491808,0.486437
1292.130493,0.483361,0.498892
1295.588989,0.475204,0.511499
1299.047363,0.46734,0.524238
1302.505615,0.459773,0.537089
1305.963745,0.452503,0.550031
1309.421753,0.445527,0.563045
1312.879639,0.438843,0.576113
1316.337158,0.432446,0.589217
1319.794678,0.426328,0.602343
1323.252075,0.420484,0.615475
1326.709229,0.414905,0.628599
1330.16626,0.409582,0.641705
1333.623291,0.404506,0.654781
1337.079834,0.399667,0.667817
1340.536377,0.395057,0.680805
1343.99292,0.390665,0.693738
1347.448975,0.386482,0.706609
1350.905029,0.382499,0.719414
1354.360962,0.378706,0.732147
1357.81665,0.375094,0.744805
1361.272095,0.371655,0.757385
1364.727295,0.36838,0.769884
1368.182495,0.365261,0.782301
1371.637451,0.362292,0.794634
1375.092163,0.359464,0.806881
1378.546753,0.356771,0.819042
1382.001221,0.354206,0.831118
1385.455322,0.351762,0.843107
1388.909302,0.349435,0.85501
1392.363037,0.347218,0.866827
1395.81665,0.345106,0.878559
1399.27002,0.343094,0.890207
1402.723145,0.341178,0.90177
1406.176025,0.339352,0.913251
1409.628784,0.337614,0.92465
1413.081299,0.335957,0.935969
1416.533691,0.33438,0.947207
1419.985718,0.332878,0.958367
1423.437622,0.331448,0.96945
1426.889282,0.330088,0.980457
1430.340698,0.328792,0.991388
1433.79187,0.32756,1.002247
1437.24292,0.326389,1.013032
1440.693604,0.325275,1.023747
1444.144165,0.324216,1.034392
1447.594482,0.323211,1.044968
1451.044434,0.322256,1.055477
1454.494263,0.321351,1.06592
1457.943726,0.320492,1.076297
1461.393066,0.319679,1.086611
1464.842163,0.318909,1.096863
1468.291016,0.318181,1.107053
1471.739502,0.317493,1.117182
1475.187866,0.316844,1.127253
1478.635986,0.316232,1.137265
1482.08374,0.315656,1.14722
1485.53125,0.315115,1.15712
1488.978516,0.314607,1.166964
1492.425537,0.314132,1.176755
1495.872314,0.313687,1.186492
1499.318726,0.313273,1.196178
1502.764893,0.312888,1.205812
1506.210938,0.312531,1.215397
1509.656494,0.312201,1.224932
1513.101929,0.311898,1.234419
1516.547119,0.31162,1.243858
1519.991943,0.311367,1.253251
1523.436401,0.311138,1.262598
1526.880615,0.310932,1.2719
1530.324585,0.310749,1.281157
1533.768311,0.310587,1.290372
1537.21167,0.310447,1.299543
1540.654785,0.310327,1.308672
1544.097534,0.310227,1.31776
1547.540039,0.310146,1.326808
1550.982178,0.310085,1.335815
1554.424072,0.310042,1.344784
1557.865723,0.310016,1.353713
1561.307007,0.310008,1.362605
1564.747925,0.310017,1.371459
1568.188721,0.310042,1.380277
1571.629028,0.310083,1.389058
1575.06897,0.31014,1.397803
1578.508667,0.310212,1.406514
1581.947998,0.310299,1.41519
1585.387085,0.3104,1.423832
1588.825928,0.310516,1.432441
1592.264282,0.310645,1.441016
1595.702393,0.310788,1.44956
1599.140137,0.310943,1.458071
1602.577515,0.311112,1.466551
1606.014526,0.311293,1.474999
1609.451294,0.311486,1.483418
1612.887695,0.311691,1.491806
1616.32373,0.311908,1.500164
1619.759521,0.312136,1.508493
1623.194824,0.312375,1.516794
1626.629761,0.312625,1.525066
1630.064453,0.312886,1.53331
1633.498779,0.313157,1.541526
1636.932739,0.313439,1.549715
1640.366455,0.31373,1.557877
1643.799561,0.314032,1.566013
1647.232422,0.314343,1.574122
1650.664795,0.314663,1.582206
