wavelength,n,k
300.0,1.5914490740108296,0.04490174268754544
304.0,1.5878491804202297,0.045335180808211244
308.0,1.5842422509171823,0.04590764553137739
312.0,1.5806288818775005,0.04637986129753598
316.0,1.57700744781915,0.046636093408428045
320.0,1.5733785366339248,0.0482161867505228
324.0,1.5703651207115361,0.04773009918928585
328.0,1.568430224823802,0.046577730603136226
332.0,1.5673001409501448,0.04488362417439378
336.0,1.566533399034443,0.04286990782440872
340.0,1.5658894529665492,0.04079597373836822
344.0,1.5653087189074795,0.038918215301914055
348.0,1.5646038033608567,0.037177567791616996
352.0,1.563494299984072,0.03577297760466101
356.0,1.5616846231467434,0.03513071244175757
360.0,1.5593350482681785,0.035182245474414856
364.0,1.5566931470148044,0.03535604637210709
368.0,1.5539544213300605,0.035498954353410224
372.0,1.5509142024277616,0.03614410466619415
376.0,1.5475351902994157,0.03722991924507782
380.0,1.5440458571817866,0.03788977227729173
384.0,1.5404779523269656,0.03702580040864199
388.0,1.5366536439701863,0.03568923949311499
392.0,1.5322116067947702,0.03472168627453791
396.0,1.5269216342120704,0.034404622376791205
400.0,1.520815333414738,0.03415568171472132
404.0,1.5136694422110948,0.03387605790829869
408.0,1.5055113674931946,0.0341459161478838
412.0,1.49640574769886,0.035225014296196185
416.0,1.4869835042524735,0.03727262777740115
420.0,1.477859570657041,0.04050144217120779
424.0,1.4695191811810506,0.04496570921060534
428.0,1.4623787362938307,0.05048064692938394
432.0,1.457000834189067,0.05703566885882858
436.0,1.4538990229503248,0.06447607429549111
440.0,1.4534097744039547,0.07232238468397363
444.0,1.4557115142533223,0.07984382901880151
448.0,1.4607856435824882,0.08631981947603005
452.0,1.468180779851215,0.09162625782709015
456.0,1.477326178262732,0.09596390648853657
460.0,1.4874864156207273,0.09958219120122108
464.0,1.4979647452931464,0.10278708620640954
468.0,1.5081386063436975,0.10525772178202154
472.0,1.5176899523860794,0.10660584290746922
476.0,1.5264017347649268,0.10663531610928083
480.0,1.5341780424740625,0.10540022309814552
484.0,1.5410201224954072,0.10339801912538805
488.0,1.546865449729151,0.10198085956927748
492.0,1.5516785724958277,0.10097004709656014
496.0,1.555464081083983,0.10012758212562682
501.0,1.5583509331946737,0.09943414158394558
505.0,1.5605724032841417,0.09870730924866322
509.0,1.5623982620489136,0.09755449289893689
513.0,1.5640300922548263,0.09582805159221482
517.0,1.5654520550821198,0.09371848832008524
521.0,1.5666124761609603,0.09160487443750083
525.0,1.5674045340080693,0.08940840656655549
529.0,1.5677974413010005,0.08741009415740897
533.0,1.5678585685493411,0.08557029664171216
537.0,1.5677788045041634,0.08394162232629918
541.0,1.5678362051788406,0.08274205844027052
545.0,1.5682588227753593,0.08211880599695127
549.0,1.5691201288323682,0.0821586186165499
553.0,1.5704894210070273,0.08279968301054157
557.0,1.5725022754470632,0.08345517244169937
561.0,1.5753368154462646,0.08413811633914711
565.0,1.5791320206942219,0.08423183895414149
569.0,1.584050232434358,0.08376353414657309
573.0,1.5901590962626482,0.08297960916295705
577.0,1.5975015924183178,0.08190130544796323
581.0,1.6060263771365968,0.0804190895230455
585.0,1.615664973383777,0.07840740175633491
589.0,1.6263833420358393,0.07577264561201703
593.0,1.638236170529735,0.07259120395550034
597.0,1.6512754361291158,0.06902800850135511
601.0,1.6654653289096621,0.06522785833849852
605.0,1.68074795561874,0.06134401530567039
609.0,1.6970246026471587,0.05751650889194526
613.0,1.714136789792006,0.05377882873414809
617.0,1.7318023917117502,0.050184629206302046
621.0,1.7497042211608724,0.046791921249253014
625.0,1.7675326617385063,0.043621090432639696
629.0,1.7849993969011184,0.04071075697706709
633.0,1.8017356340326467,0.038064527517762986
637.0,1.8174363096806974,0.0356711535398977
641.0,1.8317562866736252,0.03355837558923607
645.0,1.8444290079117929,0.0317450110209191
649.0,1.8552542125932752,0.030220142935885156
653.0,1.864087037434772,0.028886703431752016
657.0,1.8709498499931152,0.027791071380931783
661.0,1.8759654429994497,0.026910432328936775
665.0,1.8792467074955892,0.026167589578439832
669.0,1.8809073098494662,0.025599754142073463
673.0,1.8810701665290488,0.02513511720092825
677.0,1.8800475209403649,0.02476030548506189
681.0,1.8780609839144211,0.02446329110498781
685.0,1.8753523802765069,0.024259348885429015
689.0,1.8721173945934766,0.02409615188589835
693.0,1.8685110667560831,0.02396706991489519
697.0,1.8647225697452896,0.023875312922647777
702.0,1.8607536688921125,0.023785226838528153
706.0,1.856661210939195,0.02372335286858175
710.0,1.852566789989631,0.02370525175920822
714.0,1.8486024456504462,0.023678345956610447
718.0,1.8449161487268984,0.023669593390510665
722.0,1.841453029851607,0.023648799091215728
726.0,1.8382106224084143,0.023657973179926402
730.0,1.835163938824711,0.02365724535705637
734.0,1.832380759130903,0.023640984076212707
738.0,1.8298422546206343,0.023623124504036953
742.0,1.8275712121415781,0.023573237068910007
746.0,1.8254613160617037,0.023471724358045194
750.0,1.8235748917856973,0.023353400622639804
754.0,1.8218909337776579,0.02327372938190934
758.0,1.8202954192656549,0.023215283350068873
762.0,1.8187350693522064,0.023165733056857696
766.0,1.8171996454321895,0.02311447769709873
770.0,1.8157712625750475,0.023084892287049515
774.0,1.814436988788256,0.023025897835880074
778.0,1.8132174157702887,0.022950166477980996
782.0,1.8120420979750276,0.022872150587871592
786.0,1.810771376272163,0.02279647067489886
790.0,1.8093976544724117,0.02275059117472685
794.0,1.8079105829615376,0.022688395921429766
798.0,1.8062956826515302,0.02261012954148174
802.0,1.8048133087024691,0.022528711520107103
806.0,1.803402541833325,0.022524226851849752
810.0,1.802174521772971,0.022501554842507803
