Opt. Const. of Gen-Osc vs. nm nm,n,k
487,1.525734,0
488,1.525678,0
489,1.525622,0
490,1.525566,0
491,1.52551,0
492,1.525455,0
493,1.5254,0
494,1.525345,0
495,1.525291,0
496,1.525237,0
497,1.525183,0
498,1.52513,0
499,1.525076,0
500,1.525023,0
501,1.524971,0
502,1.524918,0
503,1.524866,0
504,1.524814,0
505,1.524762,0
506,1.524711,0
507,1.52466,0
508,1.524609,0
509,1.524558,0
510,1.524508,0
511,1.524458,0
512,1.524408,0
513,1.524358,0
514,1.524309,0
515,1.524259,0
516,1.52421,0
517,1.524162,0
518,1.524113,0
519,1.524065,0
520,1.524017,0
521,1.523969,0
522,1.523921,0
523,1.523874,0
524,1.523827,0
525,1.52378,0
526,1.523733,0
527,1.523687,0
528,1.52364,0
529,1.523594,0
530,1.523548,0
531,1.523503,0
532,1.523457,0
533,1.523412,0
534,1.523367,0
535,1.523322,0
536,1.523277,0
537,1.523233,0
538,1.523189,0
539,1.523144,0
540,1.5231,0
541,1.523057,0
542,1.523013,0
543,1.52297,0
544,1.522927,0
545,1.522884,0
546,1.522841,0
547,1.522799,0
548,1.522756,0
549,1.522714,0
550,1.522672,0
551,1.52263,0
552,1.522588,0
553,1.522547,0
554,1.522505,0
555,1.522464,0
556,1.522423,0
557,1.522382,0
558,1.522341,0
559,1.522301,0
560,1.522261,0
561,1.52222,0
562,1.52218,0
563,1.522141,0
564,1.522101,0
565,1.522061,0
566,1.522022,0
567,1.521982,0
568,1.521943,0
569,1.521904,0
570,1.521866,0
571,1.521827,0
572,1.521788,0
573,1.52175,0
574,1.521712,0
575,1.521674,0
576,1.521636,0
577,1.521598,0
578,1.52156,0
579,1.521523,0
580,1.521485,0
581,1.521448,0
582,1.521411,0
583,1.521374,0
584,1.521337,0
585,1.521301,0
586,1.521264,0
587,1.521228,0
588,1.521191,0
589,1.521155,0
590,1.521119,0
591,1.521083,0
592,1.521047,0
593,1.521012,0
594,1.520976,0
595,1.520941,0
596,1.520906,0
597,1.52087,0
598,1.520835,0
599,1.5208,0
600,1.520766,0
601,1.520731,0
602,1.520696,0
603,1.520662,0
604,1.520628,0
605,1.520593,0
606,1.520559,0
607,1.520525,0
608,1.520491,0
609,1.520458,0
610,1.520424,0
611,1.52039,0
612,1.520357,0
613,1.520324,0
614,1.52029,0
615,1.520257,0
616,1.520224,0
617,1.520191,0
618,1.520158,0
619,1.520126,0
620,1.520093,0
621,1.520061,0
622,1.520028,0
623,1.519996,0
624,1.519964,0
625,1.519932,0
626,1.519899,0
627,1.519868,0
628,1.519836,0
629,1.519804,0
630,1.519772,0
631,1.519741,0
632,1.519709,0
633,1.519678,0
634,1.519647,0
635,1.519616,0
636,1.519585,0
637,1.519554,0
638,1.519523,0
639,1.519492,0
640,1.519461,0
641,1.51943,0
642,1.5194,0
643,1.519369,0
644,1.519339,0
645,1.519309,0
646,1.519279,0
647,1.519248,0
648,1.519218,0
649,1.519188,0
650,1.519158,0
651,1.519129,0
652,1.519099,0
653,1.519069,0
654,1.51904,0
655,1.51901,0
656,1.518981,0
657,1.518952,0
658,1.518922,0
659,1.518893,0
660,1.518864,0
661,1.518835,0
662,1.518806,0
663,1.518777,0
664,1.518748,0
665,1.51872,0
666,1.518691,0
667,1.518662,0
668,1.518634,0
669,1.518605,0
670,1.518577,0
671,1.518549,0
672,1.51852,0
673,1.518492,0
674,1.518464,0
675,1.518436,0
676,1.518408,0
677,1.51838,0
678,1.518352,0
679,1.518325,0
680,1.518297,0
681,1.518269,0
682,1.518242,0
683,1.518214,0
684,1.518187,0
685,1.518159,0
686,1.518132,0
687,1.518105,0
688,1.518077,0
689,1.51805,0
690,1.518023,0
691,1.517996,0
692,1.517969,0
693,1.517942,0
694,1.517916,0
695,1.517889,0
696,1.517862,0
697,1.517835,0
698,1.517809,0
699,1.517782,0
700,1.517756,0
701,1.517729,0
